conceptType,conceptUri,preferredLabel,status,altLabels,description,broaderConceptUri,broaderConceptPT
Occupation,http://data.europa.eu/esco/occupation/01ffb917-98dc-48c1-91ad-93c4104e791d,مهندس طب حيوي / مهندسة طب حيوي,released,,يجمع مهندسو الطب الحيوي المعرفة بالمبادئ الهندسية والنتائج البيولوجية لتطوير العلاجات الطبية والأدوية وأغراض الرعاية الصحية العامة. يمكنهم تطوير حلول تتراوح من تحسين المكونات في الأدوية التقليدية حتى تطورات عمليات الزرع ومعالجة الأنسجة.,http://data.europa.eu/esco/occupation/f9433fdb-dde1-46cf-9e91-b49d243946a7,مهندس بيولوجي / مهندسة بيولوجية
Occupation,http://data.europa.eu/esco/occupation/0611f232-b30e-46c7-9c26-2d59b1448e79,أخصائي في علم الإجرام / أخصائية في علم الإجرام,released,,يدرس الأخصائيون في علم الإجرام الحالات المتعلقة بالبشر مثل الجوانب الاجتماعية والنفسية التي قد تؤدي إلى ارتكاب أفعال جنائية. كما يلاحظون ويحللون العوامل المختلفة التي تتراوح بين الظروف السلوكية وحتى الخلفية الاجتماعية وبيئة المشتبه بهم من أجل تقديم المشورة للمؤسسات بشأن منع الجريمة.,http://data.europa.eu/esco/isco/C2632,
Occupation,http://data.europa.eu/esco/occupation/0959cd1d-f6c8-4362-939a-ad7d5f75d659,محاضر اقتصادي / محاضرة اقتصادية,released,,المحاضرون الاقتصاديون هم الأساتذة المتخصصون والأساتذة المساعدون والمعلمون والمحاضرون والمحاضرون المساعدون والموجهون الذين يوجهون الطلاب في مجال تخصصهم الخاص في الدراسة، الاقتصاد. فهم يطورون المناهج الدراسية، ويُعِّدون الفصول الدراسية (المحاضرات، والفصول الدراسية العملية، والندوات، والتدريبات وما إلى ذلك)، ويراقبون نتائج التعلم، ويشرفون على مسار دراسة الطلاب. وهم يقومون بإجراء أبحاث أكاديمية في مجال الاقتصاد ويُقدِّمون نتائجهم في المؤتمرات وفي المنشورات. وهم يشاركون في بعض وظائف إدارة الجامعات.,http://data.europa.eu/esco/occupation/684fd8d5-9b40-4b02-a680-438f0082d923,محاضر التعليم العالي / محاضرة التعليم العالي
Occupation,http://data.europa.eu/esco/occupation/0bf5d25a-2b4d-43b5-b053-beeb210fa43a,محاضر طبي / محاضرة طبية,released,,المحاضرون الطبيون هم الأساتذة المتخصصون أو المعلمون أو المحاضرون، وغالبًا ما يكونون الأطباء الذين يوجهون الطلاب الذين حصلوا على شهادة التعليم الثانوي العليا في مجال دراستهم المتخصصة، الطب، والذي يغلب عليه الطابع الأكاديمي. وهم يعملون مع مساعدي الأبحاث الجامعية ومساعدي التعليم الجامعي لإعداد المحاضرات والاختبارات، وتصحيح الأبحاث والاختبارات، وإجراء الممارسات المختبرية، وإجراء جلسات للمراجعة والملاحظات للطلاب. كما يقومون بإجراء أبحاث أكاديمية في مجالهم الطبي التخصصي، ونشر نتائجهم والتواصل مع الزملاء الآخرين في الجامعات.,http://data.europa.eu/esco/occupation/684fd8d5-9b40-4b02-a680-438f0082d923,محاضر التعليم العالي / محاضرة التعليم العالي
Occupation,http://data.europa.eu/esco/occupation/0c7c9606-fde3-4658-8136-8fe0c9b8bd09,مهندس الأجهزة الطبية / مهندسة الأجهزة الطبية,released,,يتولى مهندسو الأجهزة الطبية تصميم وتطوير الأنظمة التقنية الطبية والتركيبات والمعدات مثل أجهزة تنظيم ضربات القلب وأجهزة التصوير بالرنين المغناطيسي وأجهزة التصوير بالأشعة السينية. وهم يراقبون عملية التصنيع بالكامل من تصميم المفاهيم إلى تنفيذ المنتج. وتتضمن الأنشطة التي يتم تنفيذها، من بين أمور أخرى، تصميم تحسينات المنتج، وتطوير الطرق والأساليب لتقييم مدى ملاءمة التصميم، وتنسيق الإنتاج الأولي، وتطوير إجراءات الاختبار، وتصميم مخططات التصنيع.,http://data.europa.eu/esco/occupation/4d34a9ee-2653-4da0-bef7-f59294577224,مهندس إلكترونيات / مهندسة إلكترونيات
Occupation,http://data.europa.eu/esco/occupation/0cd729a6-ed11-4338-ac4b-d4b924390128,مؤرخ / مؤرخة,released,,يقوم المؤرخون بالبحث في ماضي المجتمعات البشرية وتحليلها وتفسيرها وتقديمها. كما يقومون بتحليل المستندات والمصادر وتتبعها من الماضي لفهم المجتمعات السابقة.,http://data.europa.eu/esco/isco/C2633,
Occupation,http://data.europa.eu/esco/occupation/0d93706d-32fd-4de3-aa08-be1003e325da,عالم كيميائي / عالمة كيميائية,released,,يقوم العلماء الكيميائيون بإجراء الأبحاث المعملية من خلال اختبار البنية الكيميائية للمواد وتحليلها. وينقلون نتائج البحث إلى عمليات إنتاج صناعية تُستخدم بشكل أكبر في تطوير المنتجات أو تحسينها. يفحص العلماء الكيميائيون أيضًا جودة المنتجات المصنعة وتأثيرها البيئي.,http://data.europa.eu/esco/isco/C2113,
Occupation,http://data.europa.eu/esco/occupation/10291962-c0c7-4e5b-a7ed-0762b4d9b010,أخصائي في علم الأدوية / أخصائية في علم الأدوية,released,,يدرس الأخصائيون في علم الأدوية الطريقة التي تتفاعل بها العقاقير والأدوية مع الكائنات الحية والأنظمة الحية وأجزائها (أي الخلايا والأنسجة والأعضاء). وتهدف أبحاثهم إلى تحديد المواد التي يمكن للبشر تناولها والتي تُمارس وظائف كيميائية حيوية كافية لعلاج الأمراض.,http://data.europa.eu/esco/isco/C2131,
Occupation,http://data.europa.eu/esco/occupation/116b4c55-5bd0-41e9-9227-98d7ecffeaf6,محاضر علم الاجتماع / محاضرة علم الاجتماع,released,,محاضرو علم الاجتماع هم أساتذة متخصصون أو معلمون أو محاضرون يقومون بتوجيه الطلاب الذين حصلوا على شهادة التعليم الثانوي العليا في مجال دراستهم المتخصص، علم الاجتماع، والذي يكون في الغالب أكاديميًا في طبيعته. ويعملون مع مساعدي الأبحاث الجامعية ومساعدي التدريس الجامعي لإعداد المحاضرات والاختبارات وتصحيح الأبحاث والاختبارات وعقد جلسات للمراجعة والملاحظات للطلاب. كما يقومون بإجراء أبحاث أكاديمية في مجالهم التخصصي علم الاجتماع، ونشر نتائجهم والتواصل مع الزملاء الآخرين في الجامعات.,http://data.europa.eu/esco/occupation/684fd8d5-9b40-4b02-a680-438f0082d923,محاضر التعليم العالي / محاضرة التعليم العالي
Occupation,http://data.europa.eu/esco/occupation/11a6d0f6-e692-4774-aa5f-193b67d31022,عالم حركة الجسم / عالمة حركة الجسم,released,,يقوم علماء حركة الجسم بدراسة حركة الجسم ويقومون بإجراء أبحاث عنها وعن عضلات الجسم وأجزائه. ويقومون بتحليل البيانات والأساليب العلمية واستخدامها لتحسين حركة الجسم، بشكل عام لدى البشر، من خلال فهم هذه المجالات مثل علم وظائف الأعضاء وعلم الحركة وعلم الأعصاب وعلم الأحياء. وهم يُدركون التأثيرات التي تؤثر على بعض العوامل، مثل حالة الجسم والحركة، ويضعون حلولاً لتحسين الميكانيكا الكلية والحركة.,http://data.europa.eu/esco/isco/C2269,
